mode,n_chunks,wall_time_ms,n_threads,trial,hostname
sequential,10000,10.815,1,1,DESKTOP-0N3E8CV
sequential,10000,10.771,1,2,DESKTOP-0N3E8CV
sequential,10000,10.621,1,3,DESKTOP-0N3E8CV
sequential,10000,10.717,1,4,DESKTOP-0N3E8CV
sequential,10000,10.630,1,5,DESKTOP-0N3E8CV
sequential,10000,10.671,1,6,DESKTOP-0N3E8CV
sequential,10000,10.580,1,7,DESKTOP-0N3E8CV
sequential,10000,10.632,1,8,DESKTOP-0N3E8CV
sequential,10000,10.605,1,9,DESKTOP-0N3E8CV
sequential,10000,10.876,1,10,DESKTOP-0N3E8CV
sequential,10000,10.935,1,11,DESKTOP-0N3E8CV
sequential,10000,10.844,1,12,DESKTOP-0N3E8CV
sequential,10000,10.651,1,13,DESKTOP-0N3E8CV
sequential,10000,10.596,1,14,DESKTOP-0N3E8CV
sequential,10000,10.469,1,15,DESKTOP-0N3E8CV
sequential,10000,10.572,1,16,DESKTOP-0N3E8CV
sequential,10000,11.067,1,17,DESKTOP-0N3E8CV
sequential,10000,10.540,1,18,DESKTOP-0N3E8CV
sequential,10000,10.556,1,19,DESKTOP-0N3E8CV
sequential,10000,10.543,1,20,DESKTOP-0N3E8CV
sequential,10000,10.481,1,21,DESKTOP-0N3E8CV
sequential,10000,10.532,1,22,DESKTOP-0N3E8CV
sequential,10000,10.505,1,23,DESKTOP-0N3E8CV
sequential,10000,10.466,1,24,DESKTOP-0N3E8CV
sequential,10000,10.504,1,25,DESKTOP-0N3E8CV
sequential,10000,10.563,1,26,DESKTOP-0N3E8CV
sequential,10000,10.914,1,27,DESKTOP-0N3E8CV
sequential,10000,10.699,1,28,DESKTOP-0N3E8CV
sequential,10000,10.657,1,29,DESKTOP-0N3E8CV
sequential,10000,10.505,1,30,DESKTOP-0N3E8CV
parallel,10000,4.791,24,1,DESKTOP-0N3E8CV
parallel,10000,5.396,24,2,DESKTOP-0N3E8CV
parallel,10000,5.579,24,3,DESKTOP-0N3E8CV
parallel,10000,4.693,24,4,DESKTOP-0N3E8CV
parallel,10000,3.132,24,5,DESKTOP-0N3E8CV
parallel,10000,4.992,24,6,DESKTOP-0N3E8CV
parallel,10000,5.834,24,7,DESKTOP-0N3E8CV
parallel,10000,5.560,24,8,DESKTOP-0N3E8CV
parallel,10000,6.719,24,9,DESKTOP-0N3E8CV
parallel,10000,5.137,24,10,DESKTOP-0N3E8CV
parallel,10000,5.340,24,11,DESKTOP-0N3E8CV
parallel,10000,4.087,24,12,DESKTOP-0N3E8CV
parallel,10000,5.779,24,13,DESKTOP-0N3E8CV
parallel,10000,4.508,24,14,DESKTOP-0N3E8CV
parallel,10000,5.278,24,15,DESKTOP-0N3E8CV
parallel,10000,6.320,24,16,DESKTOP-0N3E8CV
parallel,10000,5.655,24,17,DESKTOP-0N3E8CV
parallel,10000,5.817,24,18,DESKTOP-0N3E8CV
parallel,10000,5.775,24,19,DESKTOP-0N3E8CV
parallel,10000,4.114,24,20,DESKTOP-0N3E8CV
parallel,10000,3.463,24,21,DESKTOP-0N3E8CV
parallel,10000,6.700,24,22,DESKTOP-0N3E8CV
parallel,10000,6.171,24,23,DESKTOP-0N3E8CV
parallel,10000,4.134,24,24,DESKTOP-0N3E8CV
parallel,10000,5.017,24,25,DESKTOP-0N3E8CV
parallel,10000,5.667,24,26,DESKTOP-0N3E8CV
parallel,10000,6.843,24,27,DESKTOP-0N3E8CV
parallel,10000,5.562,24,28,DESKTOP-0N3E8CV
parallel,10000,5.378,24,29,DESKTOP-0N3E8CV
parallel,10000,5.828,24,30,DESKTOP-0N3E8CV
