mode,n_chunks,wall_time_ms,n_threads,trial,hostname
sequential,10000,13.566,1,1,localhost.localdomain
sequential,10000,13.584,1,2,localhost.localdomain
sequential,10000,13.590,1,3,localhost.localdomain
sequential,10000,13.564,1,4,localhost.localdomain
sequential,10000,13.546,1,5,localhost.localdomain
sequential,10000,13.536,1,6,localhost.localdomain
sequential,10000,13.560,1,7,localhost.localdomain
sequential,10000,13.577,1,8,localhost.localdomain
sequential,10000,13.582,1,9,localhost.localdomain
sequential,10000,13.572,1,10,localhost.localdomain
sequential,10000,13.546,1,11,localhost.localdomain
sequential,10000,13.844,1,12,localhost.localdomain
sequential,10000,13.593,1,13,localhost.localdomain
sequential,10000,13.559,1,14,localhost.localdomain
sequential,10000,13.549,1,15,localhost.localdomain
sequential,10000,13.529,1,16,localhost.localdomain
sequential,10000,14.327,1,17,localhost.localdomain
sequential,10000,14.104,1,18,localhost.localdomain
sequential,10000,13.608,1,19,localhost.localdomain
sequential,10000,13.588,1,20,localhost.localdomain
sequential,10000,13.541,1,21,localhost.localdomain
sequential,10000,13.524,1,22,localhost.localdomain
sequential,10000,13.562,1,23,localhost.localdomain
sequential,10000,13.643,1,24,localhost.localdomain
sequential,10000,13.606,1,25,localhost.localdomain
sequential,10000,13.599,1,26,localhost.localdomain
sequential,10000,13.536,1,27,localhost.localdomain
sequential,10000,13.950,1,28,localhost.localdomain
sequential,10000,13.566,1,29,localhost.localdomain
sequential,10000,13.545,1,30,localhost.localdomain
parallel,10000,3.173,32,1,localhost.localdomain
parallel,10000,3.220,32,2,localhost.localdomain
parallel,10000,3.240,32,3,localhost.localdomain
parallel,10000,3.055,32,4,localhost.localdomain
parallel,10000,3.111,32,5,localhost.localdomain
parallel,10000,3.051,32,6,localhost.localdomain
parallel,10000,3.033,32,7,localhost.localdomain
parallel,10000,3.034,32,8,localhost.localdomain
parallel,10000,3.096,32,9,localhost.localdomain
parallel,10000,3.085,32,10,localhost.localdomain
parallel,10000,3.213,32,11,localhost.localdomain
parallel,10000,3.120,32,12,localhost.localdomain
parallel,10000,3.351,32,13,localhost.localdomain
parallel,10000,3.043,32,14,localhost.localdomain
parallel,10000,2.974,32,15,localhost.localdomain
parallel,10000,2.975,32,16,localhost.localdomain
parallel,10000,3.009,32,17,localhost.localdomain
parallel,10000,3.429,32,18,localhost.localdomain
parallel,10000,3.116,32,19,localhost.localdomain
parallel,10000,3.386,32,20,localhost.localdomain
parallel,10000,2.873,32,21,localhost.localdomain
parallel,10000,2.941,32,22,localhost.localdomain
parallel,10000,2.994,32,23,localhost.localdomain
parallel,10000,2.902,32,24,localhost.localdomain
parallel,10000,2.981,32,25,localhost.localdomain
parallel,10000,2.908,32,26,localhost.localdomain
parallel,10000,3.049,32,27,localhost.localdomain
parallel,10000,2.988,32,28,localhost.localdomain
parallel,10000,2.974,32,29,localhost.localdomain
parallel,10000,3.021,32,30,localhost.localdomain
